rsi_p,fast_p,slow_p,k_p,d_p,avg_sharpe,avg_return,avg_calmar,avg_maxdd,avg_win_rate,avg_trades,n_stocks
14,20,40,22,44,0.7503268572104231,5.8113110766415605,0.42801039741782126,-0.3681229913709181,0.6342157030753521,38.22222222222222,9
14,20,50,8,20,0.5888587051701353,5.639800146065118,0.33490852958036765,-0.3789336849237073,0.5807870124811311,51.77777777777778,9
14,20,50,8,28,0.6729880698427193,5.065595087054586,0.3643888298208251,-0.3816456199221458,0.6134772914173183,45.44444444444444,9
14,20,50,8,36,0.7437602019892733,5.4588905513648065,0.43512009787045536,-0.3674735026872135,0.6156588982675939,42.44444444444444,9
14,20,50,8,44,0.781334273430824,5.710868452916169,0.46700234025287124,-0.36710788921625986,0.6339401142032721,39.333333333333336,9
14,20,50,10,20,0.5870761308820374,5.652954818888447,0.3333063470653117,-0.38033916358769293,0.5797581945921948,50.111111111111114,9
14,20,50,10,28,0.711009887657201,5.949807654427862,0.4073479581405602,-0.359895391084885,0.6407116190316763,44.55555555555556,9
14,20,50,10,36,0.7684350953709732,6.604757183097537,0.4631970116815908,-0.3704947358694122,0.6243953127817139,42.0,9
14,20,50,10,44,0.7592074810905368,5.208437848487019,0.4529237812140011,-0.3562884408043888,0.6375857695498259,38.55555555555556,9
14,20,50,14,20,0.6809974355288102,5.56486808842448,0.36935707300511167,-0.381106042961847,0.6248715415019763,46.55555555555556,9
14,20,50,14,28,0.7644660082615832,6.37877364944721,0.4666315395124864,-0.3627567927125177,0.6280261447349414,43.44444444444444,9
14,20,50,14,36,0.775469247227635,5.410629045217108,0.46159325811550683,-0.370089476075249,0.6435730268043609,40.111111111111114,9
14,20,50,14,44,0.7660334231273009,5.339880536257864,0.44763168256952224,-0.3549770002539263,0.6544187674218634,37.55555555555556,9
14,20,50,18,20,0.7558822074829348,5.73932693090875,0.4447920188046494,-0.3653612305760561,0.6327424466896668,44.111111111111114,9
14,20,50,18,28,0.7722620014756906,6.249134069539576,0.46124097070535885,-0.36851292938803687,0.6400734992198406,41.888888888888886,9
14,20,50,18,36,0.7384206227902848,4.748568751354307,0.41846488756307104,-0.3676736815741241,0.6425570741360215,38.22222222222222,9
14,20,50,18,44,0.7448829719462793,5.7888349833518005,0.45528266158230335,-0.33525665546150946,0.6458424964616916,36.333333333333336,9
14,20,50,22,20,0.7642389256831176,5.929469350889174,0.4618014703494955,-0.3566598575978145,0.6345053980003876,42.44444444444444,9
14,20,50,22,28,0.7291295223821542,4.996437524977007,0.39533385335182025,-0.38315599932953615,0.6470586775464824,39.888888888888886,9
14,20,50,22,36,0.758243273096881,6.213678650430507,0.4672470239188138,-0.3313084103603643,0.6307771135428514,37.0,9
14,20,50,22,44,0.7460721676735325,5.06893420154695,0.44781764208652025,-0.3394707131995837,0.6625897096485333,34.77777777777778,9
14,20,60,8,20,0.6705401183825419,6.152570126250861,0.39717763954790125,-0.36674939375610155,0.5757364805323959,48.111111111111114,9
14,20,60,8,28,0.7339884218294239,6.876703540127808,0.4413517148636512,-0.35854583267310935,0.6242471949829207,43.111111111111114,9
14,20,60,8,36,0.7908660338854531,5.486484974822515,0.485793725288963,-0.35225562101285146,0.640704400460498,38.55555555555556,9
14,20,60,8,44,0.7784129409117825,5.335048632794939,0.4500427982252748,-0.3500528694270108,0.6292577259553525,35.888888888888886,9
14,20,60,10,20,0.6780697287336009,6.051851931394932,0.38412591279293257,-0.37720740174645495,0.5847564636739511,47.111111111111114,9
14,20,60,10,28,0.7471618937367052,5.730087575734931,0.4818571237034967,-0.3395447206317315,0.6248426717555741,42.333333333333336,9
14,20,60,10,36,0.7663798239706884,5.167945283796943,0.4328972518479237,-0.3741031641226875,0.6319964905116809,37.888888888888886,9
14,20,60,10,44,0.7436488173765469,5.049110078999911,0.4357280397805281,-0.3411744109718296,0.6322387338318711,35.333333333333336,9
14,20,60,14,20,0.7416306066576112,5.745142280041411,0.4755791237345037,-0.3456633078980172,0.6194172790948346,44.77777777777778,9
14,20,60,14,28,0.7645521381422393,5.63033506068871,0.44752810163007645,-0.3629967822207875,0.6206979344678243,40.22222222222222,9
14,20,60,14,36,0.7663962180813528,4.623377072286551,0.44542536445462905,-0.358307674072808,0.638702805369472,36.44444444444444,9
14,20,60,14,44,0.7350439311975779,5.2994276099596656,0.421503141902033,-0.35771808945283784,0.6432872973353683,34.333333333333336,9
14,20,60,18,20,0.7645213681767563,5.611152612679392,0.45297632052579384,-0.36116053090610956,0.6210774470937073,41.888888888888886,9
14,20,60,18,28,0.775732288071778,5.063515843440595,0.462703935389085,-0.3580982093763074,0.6164315462561077,38.22222222222222,9
14,20,60,18,36,0.7456581340030188,5.422335944638131,0.4474140669067394,-0.3382753096403676,0.6334178897430003,35.22222222222222,9
14,20,60,18,44,0.7252017850456723,4.296947396397973,0.40563791490894313,-0.3605478452611355,0.6521649376053235,33.888888888888886,9
14,20,60,22,20,0.7601051335334131,5.0788044187600185,0.42847278930026395,-0.3695079549291223,0.6150279762710229,39.0,9
14,20,60,22,28,0.7531983357878276,5.645714065916275,0.4529052787946328,-0.34278954090053354,0.6347761771910378,36.22222222222222,9
14,20,60,22,36,0.7355546640325361,4.842845625996628,0.4378652428574235,-0.3380579564571468,0.6534374268877747,34.111111111111114,9
